RecordTypeId,Field__c,Field_Label__c,New_Value__c,Object__c,Object_Label__c,Old_Value__c,Record_Id__c,Record_Name__c,Relation__c,User__c,Errors,Id
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0odkAAB,Sparkassen- und Giroverband Hessen-Thüringen (SGVHT),Child Object,0052o00000A4d6MAAR,,a029E00000NxlTmQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofyAAB,Sparkasse Sprockhövel,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTnQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oe0AAB,Stadtsparkasse Kaiserslautern,Child Object,0052o00000A4d6MAAR,,a029E00000NxlToQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oV6AAJ,SV SparkassenVersicherung Holding AG,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTpQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oebAAB,Sparkasse Staufen-Breisach,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTqQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0og0AAB,Sparkasse Südholstein,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTrQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0og3AAB,Sparkasse Südliche Weinstraße,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTsQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ogDAAR,Sparkasse Wiesental,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTtQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ogGAAR,Sparkasse Wittgenstein,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTuQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W1fxhAAB,Sparkassenverband Rheinland-Pfalz (SVRP),Child Object,0052o00000A4d6MAAR,,a029E00000NxlTvQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0oemAAB,Sparkasse Trier,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTwQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ofBAAR,Sparkasse Ulm,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTxQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0og6AAB,Sparkasse Unstrut-Hainich,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTyQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0og9AAB,Sparkasse Westholstein,Child Object,0052o00000A4d6MAAR,,a029E00000NxlTzQAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0octAAB,Stadtsparkasse Grebenstein,Child Object,0052o00000A4d6MAAR,,a029E00000NxlU0QAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0odmAAB,Stadtsparkasse Wuppertal,Child Object,0052o00000A4d6MAAR,,a029E00000NxlU1QAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0odUAAR,Sparkasse Westmünsterland,Child Object,0052o00000A4d6MAAR,,a029E00000NxlU2QAJ
0129E000000XXm6QAG,AccountTeamMembers,Account Team Member,Deleted,Account,Account,Birte Sewing,0012o00002W0ogNAAR,Sparkasse Wetzlar,Child Object,0052o00000A4d6MAAR,,a029E00000NxlU3QAJ
